user_id	jobroles	career_level	discipline_id	industry_id	country	region	experience_n_entries_class	experience_years_experience	experience_years_in_current	edu_degree	edu_fieldofstudies
8080	3870375	3	0	21	de	10	3	6	4	2	4
8135	2116758,3079492,714677	NULL	0	0	de	2	3	3	1	2	8
8141	1295651,2978502,1745650	3	23	8	de	7	3	6	2	0	7
8263	2101651	3	23	1	de	1	3	7	1	0	
8279	2492232	0	0	5	de	2	1	0	0	0	
8497	1848140,3954962,524518	4	0	0	de	0	3	6	3	0	7
8498	2210017	3	0	0	de	0	1	0	0	1	2,8
8596	4417665,2569932,1768488,2573697	4	0	0	de	0	3	5	1	2	8,2
8724	3904557	0	0	1	de	2	1	0	0	0	
8903	1745650,502342,2865345	0	9	8	de	0	3	4	2	2	8
8932	0	NULL	0	0	de	9	3	4	0	2	3
9016	0	NULL	0	0	de	0	1	0	0	0	
9069	4408755	0	0	15	at	0	1	0	0	2	
9177	502342	0	0	1	de	9	1	0	0	0	
9199	4380932,213841,3287640	0	0	0	de	0	1	4	3	0	
9350	0	NULL	0	0	de	2	3	7	0	0	3
9470	3582227,726713	3	0	8	de	8	1	5	5	0	
9472	76751	3	0	21	de	3	1	4	3	0	
9519	315526	0	0	0	de	0	3	3	3	1	
9618	958681,3240672,433227	2	0	0	de	0	3	3	1	2	7
9663	2951436,3145630	5	0	0	de	0	2	4	4	0	7,4
9665	1214687,3270930,1385958,4321623	2	0	21	de	10	3	4	2	1	
9666	2690571,63375	3	0	0	de	0	3	5	2	1	8
9680	695787	3	1	4	de	9	3	5	2	0	
9756	4083203	0	0	0	ch	0	3	5	1	1	8
9768	4499767,128836	0	0	8	de	1	2	4	1	0	
9835	3802986	3	0	0	de	0	3	4	2	0	
9848	996660,313273,3028585	4	0	0	de	0	3	6	4	3	5
9866	1632183,500718,1259474	3	20	9	de	1	3	5	2	2	3
9898	0	0	0	15	de	9	1	4	4	2	
9926	492263,240317,2585795	0	0	0	de	0	2	7	5	0	
9993	612078,1290667,3432139	6	2	21	de	2	3	7	2	2	5,3
10044	494116	3	0	0	de	0	3	7	3	0	
10158	1608502,2585795,1293536,3787672,506503,3385128,3372075,3378061,972718,1624930,3726822,1697930,2021194	0	0	13	de	9	3	7	4	0	8
10194	3418410	0	0	2	de	13	1	0	0	0	
10211	2978502,605721	3	0	0	de	0	3	3	1	1	8
10284	1012013	3	0	0	de	0	2	7	6	0	
10434	3913136,1657973	0	0	2	de	7	3	5	2	0	
10464	2933897	2	0	0	de	0	2	4	4	2	8
10609	635441	3	3	2	de	6	2	5	3	0	
10706	3455926	3	3	4	de	10	3	7	1	0	
10723	3267961,315526	4	0	0	de	0	3	6	5	2	8
10811	3372075	3	0	21	de	10	1	0	0	0	
10872	0	NULL	0	0	de	5	2	0	0	2	
11052	996660	0	0	12	de	3	3	7	2	0	
11153	3737229	3	0	20	de	2	3	4	3	3	8
11208	4141254,229082	4	0	0	de	0	3	6	3	0	
11281	0	NULL	0	0	de	0	1	0	0	0	8,2
11319	315526,2111897,3366225,2118130	4	0	0	de	0	3	6	1	2	8
11360	2385717,185398,3667990,4305206	2	0	0	de	0	3	3	2	2	5
11537	2557860	0	0	5	non_dach	0	1	0	0	0	
11778	2527907	0	18	10	de	2	2	5	4	0	
11805	3768439,3793361,502342,1104167,1838416	3	7	13	de	6	3	3	2	1	7
12018	1549791,775946,2359191	0	0	2	non_dach	0	1	0	0	0	7
12048	3772791	0	0	15	de	0	1	0	0	0	
12102	1072229	3	18	1	de	9	3	6	2	2	
12150	0	NULL	0	0	ch	0	2	4	0	1	
12269	3903788,996660	2	0	0	de	0	3	4	1	2	8
12288	695787	0	0	0	de	0	1	0	0	1	
12350	2926629	4	9	8	de	6	3	6	4	2	8
12413	3482421	NULL	0	0	de	13	3	5	1	2	8
12425	0	NULL	0	0	non_dach	0	2	4	0	1	
12650	3079492	NULL	0	0	de	2	3	4	1	1	
12681	3293484	3	0	0	de	0	3	4	1	1	8
12689	0	NULL	0	0	at	0	3	7	0	2	3
12691	4141254,229082,4499767	0	0	0	de	0	3	5	1	3	2
12698	0	NULL	0	0	ch	0	1	1	0	0	
12742	0	0	0	5	de	0	1	0	0	0	
13073	2632767,1567907	4	0	2	ch	0	3	5	2	1	
13084	1591521,494116,230136	4	0	0	de	0	2	5	3	2	
13128	492263,1571433,3378061	4	0	0	de	0	3	6	2	2	7
13248	444534	NULL	0	0	de	6	2	1	1	1	6
13262	812432	0	0	0	de	0	2	7	4	2	
13477	1309703	3	14	21	ch	0	3	4	3	2	3
13696	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
13712	0	3	0	2	de	7	2	5	5	0	
13748	4284901	5	0	0	de	0	3	7	2	0	
13774	3241763	3	0	0	de	0	3	6	2	0	
13795	3705605,1119117,4141254	3	0	21	de	6	2	5	3	0	
13820	2385717,3224758	3	0	0	de	0	1	5	3	0	
14048	2591149	0	0	15	de	2	3	5	1	2	3
14219	4338514	0	0	0	ch	0	3	6	0	2	2,8
14221	4490078	3	6	9	de	1	3	5	1	2	
14272	3482421	6	6	11	de	1	3	6	3	0	
14295	2314529,2325779	0	0	21	de	3	2	5	3	3	5
14762	31780,2021533,2915824,1486283	6	0	14	de	2	2	4	4	0	8
14843	3482421	0	0	5	de	0	1	1	1	0	
14875	4143327	0	0	8	de	7	1	7	4	0	5,3
14922	0	NULL	0	0	de	3	2	2	0	1	3,8
14966	0	0	2	14	de	7	3	7	2	0	
14995	284124	0	0	9	de	2	2	3	1	1	3
15000	4284901	5	0	0	de	0	2	5	4	0	
15031	1428496	3	0	9	ch	0	1	4	4	0	
15034	3079492	1	9	18	de	2	3	4	1	0	
15097	991642,1620730	3	13	15	de	10	3	6	1	0	
15160	635441	5	0	17	de	1	1	0	0	0	
15406	3408137	3	9	8	de	6	3	4	2	2	
15747	0	NULL	0	0	de	9	1	0	0	0	
15849	3293484,4159968	2	0	0	de	0	1	2	2	1	8
16010	4490078,2130746	2	0	0	de	0	3	4	3	3	8,2
16298	420011,3896710,3378061	4	7	1	de	1	3	7	4	0	8,7
16362	744365	NULL	0	0	de	9	3	6	3	2	2
16392	3378061,3109920,1105841	3	3	8	de	10	3	7	1	0	
16535	3801083	0	0	16	de	9	1	0	0	0	
16670	2978502	3	0	11	de	9	3	5	3	2	8,5
16734	0	NULL	0	0	de	7	1	1	0	0	2
16891	4549863,3870375,3903788	4	0	0	de	0	2	7	6	0	4
17017	3972474,412919	3	2	21	ch	0	3	6	2	0	
17145	3582227	1	14	21	de	0	1	3	3	0	5
17381	1549791	6	0	4	de	2	2	6	6	0	
17394	991642	3	13	9	de	9	3	5	2	2	
17489	3370475,2101651,2140778	3	3	21	de	10	3	7	4	0	
17540	212162	3	3	15	de	1	2	3	2	0	
17586	1581843,2501578,2573697,1342939,2978502,1567907	0	0	13	de	2	3	7	0	0	
17617	0	NULL	0	0	de	0	1	1	0	0	
17628	991642	NULL	0	0	de	2	3	3	1	2	
17751	1792965	0	0	18	de	10	2	7	2	0	4
17764	2140778,996660	4	11	2	de	7	3	7	1	0	8
17889	4451534,494116,221785,1284613	0	0	0	de	0	3	7	1	0	
17916	0	NULL	0	0	de	7	1	0	0	0	2
17936	4284901,1549791,1913940,321470,3425261	6	0	0	de	0	3	7	5	3	5
17960	76751,3028585	3	0	0	de	0	3	6	2	2	5
17979	502342	0	0	18	non_dach	0	1	0	0	0	
17999	0	0	0	2	de	1	1	0	0	0	
18073	4572761,1119112	3	0	8	de	7	3	7	4	0	
18185	0	0	0	14	de	2	1	4	1	3	8,2
18235	2973232	3	4	21	de	6	2	4	2	0	5
18295	3737229	3	0	20	de	9	3	5	4	3	
18307	4499478	3	6	23	de	10	3	5	2	2	2,8
18488	3370475,2916123,2978502,2958665,4499767,1156891	3	3	8	de	2	3	6	3	0	3
18508	22459,3720944,2928384	NULL	0	0	de	1	1	0	0	0	
18575	524518	NULL	0	0	de	2	2	5	2	1	2
18592	3500451	3	1	1	de	9	3	5	2	0	3
18605	2995613,502342	4	0	3	de	7	1	7	7	0	5,3
18724	2572677,4333385	0	0	0	de	0	1	6	5	0	3
18994	0	NULL	0	0	de	1	3	0	0	3	2
19021	392294,1426397	0	0	0	de	0	3	5	1	1	2,5,8
19076	2964664,3768439	3	2	14	de	6	2	3	1	1	2,8
19100	1890945	0	0	14	de	0	1	0	0	0	
19147	726796,4106789,401445,2314529,2230200	0	14	21	de	1	3	6	1	2	5
19225	3964402,2569932,1079599,3303501,1283916	NULL	0	0	de	7	3	7	4	0	
19232	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
19533	1057841	0	0	11	de	7	3	4	2	2	8,2
19623	901174,380603	6	0	0	de	0	2	7	6	0	
19716	2645033	3	0	3	de	7	1	7	7	0	
19731	3386134,1812938	0	0	2	de	7	3	6	3	0	8,2
19820	76887	2	0	0	de	0	2	4	2	1	7
19825	0	NULL	0	0	de	6	3	5	0	2	3
19926	2811951	0	0	14	de	3	1	3	3	0	8
19931	0	NULL	0	0	de	4	1	3	0	2	5
19992	0	6	0	15	de	1	1	7	7	0	
20076	0	5	0	0	de	0	3	5	5	0	
20090	387856,3293484,1581843	4	0	4	de	2	2	6	4	0	
20145	3086899,3582227,1581843	3	0	15	de	1	1	2	2	0	
20366	1342939,1162788,2387379	3	0	15	ch	0	3	7	3	0	
20374	3163079,500718	4	0	0	de	0	3	7	5	2	8
20515	750088	3	0	10	de	6	1	7	7	0	
20811	3072367,2258282	4	0	22	de	1	3	5	2	2	5
20815	2865345,1986087,4490078	4	0	0	de	0	2	3	2	2	8
20816	4284901	6	0	0	de	0	3	7	4	0	3
20875	3079492	NULL	0	0	de	10	3	4	3	1	3
20925	3836325	0	0	0	at	0	1	5	5	0	
21017	2285759,100039,2387379	3	14	21	at	0	3	5	1	0	5
21298	0	NULL	0	0	non_dach	0	2	4	0	0	5
21410	1014996,991642	0	0	22	de	3	2	7	4	0	
21411	2314529,4284901,3729575,1125967	6	0	0	de	0	3	6	4	0	
21415	348684,4298526,4052776	3	12	16	de	0	3	7	3	3	7,6
21514	524518,239872,1549791,492263	0	2	14	de	0	2	7	7	2	2
21633	962959,4284901	6	19	8	de	9	3	7	5	0	3
21813	99031	4	15	1	de	10	3	6	2	0	3
21902	3079492,1738740	NULL	0	0	de	2	3	4	2	2	2,9
21913	4490078	3	0	0	de	0	1	5	2	0	
21973	0	NULL	0	0	de	1	2	4	0	2	
21976	234916,2317118	3	0	0	de	0	1	0	0	0	
22069	30993,3378061,618947,3083772,4321623,1441262	0	0	0	de	0	3	4	4	2	7,2,9,4,8
22107	195430,1283916	3	0	0	de	0	3	5	1	2	
22153	1119112	0	0	13	de	7	1	0	0	0	
22258	3543754	0	0	0	de	0	1	4	4	0	
22570	4545549	5	0	1	de	9	2	6	3	0	
22637	2660625	3	0	0	de	0	1	3	3	0	
22657	0	4	0	0	de	0	2	7	5	0	
22672	1179799	3	0	15	de	7	1	0	0	0	
22677	3482421	3	0	0	de	0	1	7	7	0	
23027	1319614	0	0	15	de	9	3	7	1	2	2,8
23147	508447	3	15	1	de	9	1	7	7	0	3
23247	612078	0	0	21	de	2	3	5	2	0	5
23277	0	NULL	0	0	de	0	1	0	0	0	
23318	4097658	0	0	15	de	2	1	0	0	0	2
23387	0	NULL	0	0	de	2	1	0	0	0	
23405	0	NULL	0	0	de	9	2	5	0	0	
23424	2750159	3	0	0	de	0	3	6	1	0	5
23428	3079492	NULL	0	0	de	1	2	4	2	2	5,8
23471	991642	4	0	0	de	0	2	4	2	1	
23479	3517194	0	0	18	de	10	1	0	0	0	
23501	0	NULL	0	0	non_dach	0	1	0	0	0	
23515	4141254	0	0	2	de	0	2	5	4	2	8
23556	2660625	0	0	21	de	7	1	6	6	0	
23608	76751	0	0	21	de	13	1	5	5	0	3
23735	3287640	3	6	8	de	6	3	7	2	0	
23778	4042862	0	0	12	ch	0	1	0	0	0	
23796	2823594	0	0	0	de	0	1	3	1	3	5
23807	0	NULL	0	0	at	0	3	7	0	0	
23879	0	NULL	0	0	de	1	1	0	0	0	
23979	3370475	2	0	0	de	0	1	4	2	1	8
24078	2082758,3240672,4206556	0	0	0	de	0	3	7	2	0	
24357	0	NULL	0	0	de	5	1	0	0	0	
24366	4377935,2735573	3	0	0	de	0	1	7	6	0	
24457	1091333,4380932	3	0	0	de	0	3	6	2	0	
24533	2130746	4	0	0	de	0	2	6	2	0	
24772	2581444	4	0	0	de	0	2	5	3	2	8,2
24897	2130746	4	0	0	non_dach	0	3	5	1	1	5
25015	1890945	3	14	14	de	3	3	4	1	1	5,3
25055	2452252	3	14	8	de	2	2	4	1	0	
25142	412919,3187490,3729575,1435493,502237,2996488	3	9	21	de	6	3	4	2	2	8
25745	4499767	0	0	15	de	1	1	3	3	0	
25826	3586425,2064296,482031	2	0	0	de	0	3	4	2	0	
25874	1283916	3	2	7	de	9	3	5	2	0	
25924	1894285	0	0	0	de	0	1	7	4	0	2,4
25968	1525684,43249	0	0	0	de	0	1	3	3	0	
25978	154542,4141254	3	0	21	de	6	3	7	5	2	
26038	2573697,4490078	3	0	0	de	0	2	5	3	2	8
26069	2848370	3	7	21	de	2	3	4	2	2	3
26131	177854	0	0	0	de	0	2	4	1	0	
26149	0	3	0	0	de	0	3	5	0	1	8
26218	3737229,4264807	5	0	0	de	0	1	5	5	2	
26255	18903	3	0	21	de	9	2	5	2	2	5
26283	2457543,4007215,2439827,207777,3287640	3	0	0	de	0	2	5	5	2	8
26316	4499767	3	3	9	de	10	1	0	0	0	
26326	1162788	0	2	14	de	1	3	6	4	0	
26370	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
26409	4570420,812432	3	0	0	de	0	2	5	2	2	
26482	996660	3	0	12	ch	0	1	0	0	0	
26483	2573697,2280593	4	3	21	de	2	3	6	2	0	
26772	1038436	3	0	0	de	0	2	4	2	1	8
26786	3482421	0	0	14	de	0	3	7	5	0	
26830	2210017	3	0	9	de	1	1	5	4	0	
26842	2100224	3	23	3	de	1	3	5	1	2	8
26912	3952169,405663	0	0	12	de	0	1	0	0	0	
26919	8057	3	6	11	de	1	3	4	1	1	8
27002	4284901,524518,1283916	4	2	14	at	0	3	7	3	0	
27051	4490078	0	0	0	de	0	3	7	2	0	8
27098	4172247	3	0	18	de	6	3	6	3	0	4
27134	1851239	0	0	20	de	9	3	5	3	2	8
27310	1458488,2310458,4533036	3	0	0	de	0	2	4	2	0	
27428	0	NULL	0	0	de	7	3	4	0	2	7
27433	4284901	6	0	7	de	6	3	7	4	0	
27501	2314529	0	0	21	de	1	2	4	1	1	5
27545	412919,3482421,4284901,655030	NULL	0	0	non_dach	0	3	4	2	1	8
27593	0	0	0	22	de	2	3	6	2	0	2
27602	0	0	0	5	de	3	3	6	1	0	
27630	635441	0	0	8	de	2	2	4	2	0	
27707	0	NULL	0	0	de	6	3	6	0	0	
27741	996660	2	0	0	de	0	2	6	4	2	3
27755	2427634	0	0	8	de	13	3	5	2	2	2
27788	3045845	2	0	0	de	0	1	1	1	1	2,5
27823	3418410,2608520	2	20	5	de	9	3	4	1	2	3
27845	744365,3482421,2169794	0	2	14	de	6	3	7	1	2	8,2
27847	962959	0	0	0	de	0	3	0	0	0	3
28022	0	NULL	0	0	de	5	3	4	0	1	
28064	3287640,1581843	3	3	8	de	7	3	6	1	0	
28119	3676272	0	0	0	de	0	3	5	0	0	
28232	4490078	0	0	0	de	0	3	0	0	0	8
28234	3093336	3	20	15	de	0	1	4	4	0	3
28264	1745650,2314529,2905196	3	14	21	de	2	3	5	4	2	2
28289	0	NULL	0	0	de	7	1	4	0	0	5
28351	745768	3	6	11	de	2	2	4	1	0	
28445	1549791,4490078	4	0	0	at	0	3	6	6	2	8,5
28801	0	3	0	15	de	14	1	5	5	0	
28849	2569932	4	0	0	non_dach	0	1	4	2	2	2
28923	0	NULL	0	0	at	0	2	5	0	1	8
29134	3499434,3432139,744365,2017459,1484215	5	0	0	de	0	3	7	5	2	
29195	0	NULL	0	0	de	9	2	3	0	0	3
29421	3145630,2010448,221785	5	0	2	de	7	3	7	4	0	
29473	4487510	0	0	16	de	1	1	5	5	0	
29513	3372075,4284901,2380081	5	0	0	de	0	2	6	2	3	5
29582	221785,43756,229082	2	3	1	de	9	1	2	2	1	8
29739	3543754	1	0	0	de	0	3	5	1	2	
30057	3482421,2832248	0	0	20	de	1	3	4	2	0	8,2
30101	4514735,76751	2	0	0	de	0	3	4	2	1	
30109	524518,1179799	NULL	0	0	de	10	3	5	2	2	8
30424	4380932	3	0	0	de	0	1	6	6	0	
30462	3482421	3	0	10	de	2	2	7	7	0	
30475	2133153	0	0	6	de	9	3	5	1	0	
30515	1079210,3482421,21113	4	3	8	de	10	3	5	2	0	3,8
30546	154542,1283916,4284901	6	0	0	de	0	3	6	3	3	5
30643	4284901	0	0	14	de	3	1	0	0	0	
30774	3543754	NULL	0	0	de	3	2	3	2	0	
30884	4302619,76751	0	0	21	de	1	2	0	0	2	2,8
31043	1038436,2169794,4284901,4169675	6	0	0	de	0	3	6	5	0	8
31106	1087839,4284901,3482421,4528517	6	0	0	at	0	3	5	5	1	5,8
31207	4284901	6	19	8	de	2	3	7	2	2	8
31213	3408137,3748334	2	9	8	non_dach	0	1	2	2	0	
31504	3533669	3	0	9	de	2	1	6	5	0	3
31677	3145630,1856588	6	0	0	at	0	3	6	0	0	
31764	460872,919507	0	0	0	de	0	2	4	3	3	
31866	616841	0	0	1	de	7	1	0	0	0	
31957	30045	0	0	21	de	1	2	4	2	0	
32030	2111897,3768439	0	0	12	de	7	3	3	1	0	
32106	4499767,758082,3079492,2167980,2135130,996660	0	0	9	non_dach	0	1	3	3	1	8
32214	2639824,4545549	3	0	0	de	0	2	5	3	1	5
32220	3045845	NULL	0	0	de	8	2	2	2	0	8
32244	3432139	0	0	14	de	6	3	5	2	2	8
32311	3079492	NULL	0	0	de	1	3	3	2	1	2,7,8
32317	0	NULL	0	0	non_dach	0	3	6	0	1	8,7,2
32373	2660625	4	0	0	ch	0	3	6	2	2	
32382	2500419,1581843	4	14	3	ch	0	3	6	1	0	5
32516	0	NULL	0	0	de	6	3	7	0	2	3
32533	3482421,460872,2928384,1685517	0	0	0	de	0	3	6	5	0	8,7
32582	695787	0	0	16	de	2	1	6	2	0	
32613	1746248	2	0	0	de	0	3	5	2	2	
32836	3733118,4306355,391006,2660030	0	0	3	de	3	3	4	2	2	8,2
32853	2314529	0	0	0	de	0	3	4	3	0	
33000	4049722,3456869	3	0	21	de	7	2	6	6	0	5
33042	0	6	0	14	de	10	3	7	4	0	
33151	1283916,3145630,4284901	0	0	14	de	9	3	7	4	0	8
33226	3432139	3	0	1	de	1	2	6	4	0	5
33331	1549791	6	0	0	de	0	3	7	1	0	
33374	4284901	6	0	7	de	6	3	7	2	0	
33406	3582227	3	0	0	de	0	3	4	3	2	8
33484	979631,412919,524518,4499478	4	0	0	de	0	3	5	2	3	2
33573	3533669	NULL	0	0	de	3	2	4	2	2	3
33646	212162,1530700	NULL	0	0	de	7	3	7	2	0	
33842	3072367	4	0	0	de	0	3	7	2	0	
33855	1284613,213841	4	0	15	de	3	3	7	2	0	8
33914	502342,1283916	6	2	14	at	0	3	6	4	0	
33931	2169794,2509936,196892,272304,1723117,4328195	6	0	0	at	0	3	3	3	2	7,8
33967	502342	4	7	1	de	9	3	7	3	0	
34249	63258	4	7	1	de	7	2	7	4	0	3
34473	3580664,1463549	3	0	0	non_dach	0	3	5	4	2	8,2
34484	2616578,1677592,187361	3	9	8	de	7	3	4	1	0	
34504	76887	3	0	0	de	0	3	0	0	2	8,2
34589	1897232,494116,2550008,4484357	4	0	22	de	6	3	7	3	0	
34643	1394968,2573697	4	2	18	de	9	3	6	2	2	8
34663	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
34773	1295414	4	14	21	de	1	3	5	2	0	5,8
34844	0	NULL	0	0	de	8	2	3	0	1	5
35008	1218642,76751	3	2	14	de	0	2	4	1	0	2
35012	0	NULL	0	0	de	1	2	3	0	2	3
35034	1057841	4	6	21	non_dach	0	1	2	2	0	
35115	3135218,234916,726713,1219655,291827	3	3	1	de	6	1	5	5	0	
35161	1798516	0	0	8	de	5	1	4	1	0	
35217	278289	3	0	0	de	0	3	4	1	1	
35281	4362983	0	0	15	de	2	3	7	4	0	
35429	4225887,1151866,508447,4362983,2323129	6	0	0	non_dach	0	3	6	2	0	3
35580	2848370	3	0	2	de	7	3	5	2	3	5,3
35604	1179799	0	0	2	at	0	1	0	0	2	
35617	996660	0	0	0	de	0	3	4	2	1	8
35658	524518	NULL	0	0	de	15	2	3	3	1	6
35675	3737229	0	0	20	de	9	3	6	4	0	
35797	3456931,502342	4	14	21	non_dach	0	1	3	2	0	5
35850	0	NULL	0	0	de	1	1	4	0	1	3
35856	3794933,3376322,1342939,4499767	3	3	21	de	6	3	7	2	0	
35942	1851239	0	22	15	de	2	3	4	2	0	8
35974	991642	0	0	0	de	0	1	5	4	0	
36091	3370475,3553594,1284613	6	0	0	de	0	3	5	1	2	8,2
36307	1389761	0	9	18	de	6	3	6	3	2	4
36437	4226273,502342	0	0	2	de	2	3	7	3	2	3
36510	3015837	0	0	20	de	2	2	2	1	2	
